worker_id,avg_monthly_income,income_variance,workload_variance,stability_category,classification_reason,total_gigs
W-1109,376.44,21260.04,6.93,Moderate,"Index is 38.7% (20-40%), showing slight but normal fluctuations.",75
W-1110,31.16,1222.5,7.17,Highly Unstable,"Index is 112.2% (>70%), a severe red flag for income consistency.",31
W-1111,1669.72,76596.6,7.72,Stable,"Index is 16.6% (<20%), indicating highly predictable income.",245
W-1112,3323.36,2920697.61,36.45,Volatile,"Index is 51.4% (40-70%), pointing to risky and irregular payouts.",209
W-1113,448.52,104680.68,111.55,Highly Unstable,"Index is 72.1% (>70%), a severe red flag for income consistency.",222
W-1114,320.28,57871.48,176.27,Highly Unstable,"Index is 75.1% (>70%), a severe red flag for income consistency.",209
W-1115,64.66,1554.52,12.45,Volatile,"Index is 61.0% (40-70%), pointing to risky and irregular payouts.",73
W-1116,135.18,10130.86,110.61,Highly Unstable,"Index is 74.5% (>70%), a severe red flag for income consistency.",184
W-1117,323.34,3700.39,13.36,Stable,"Index is 18.8% (<20%), indicating highly predictable income.",251
W-1118,214.2,1058.31,8.93,Stable,"Index is 15.2% (<20%), indicating highly predictable income.",255
W-1119,3337.01,3198216.1,62.63,Volatile,"Index is 53.6% (40-70%), pointing to risky and irregular payouts.",259
W-1120,10627.94,58969655.89,119.54,Highly Unstable,"Index is 72.3% (>70%), a severe red flag for income consistency.",215
W-1121,88.19,3594.13,14.7,Volatile,"Index is 68.0% (40-70%), pointing to risky and irregular payouts.",70
W-1122,1373.22,333183.02,58,Volatile,"Index is 42.0% (40-70%), pointing to risky and irregular payouts.",192
W-1123,2094.39,2245407.52,120.61,Highly Unstable,"Index is 71.5% (>70%), a severe red flag for income consistency.",208
W-1124,1359.99,1086936.59,100.55,Highly Unstable,"Index is 76.7% (>70%), a severe red flag for income consistency.",192
W-1125,2699.89,261957.8,13.17,Stable,"Index is 19.0% (<20%), indicating highly predictable income.",239
W-1126,1811.29,95864.92,9.54,Stable,"Index is 17.1% (<20%), indicating highly predictable income.",229
W-1127,691.44,240693.51,91.72,Highly Unstable,"Index is 71.0% (>70%), a severe red flag for income consistency.",181
W-1128,1251.67,823709.95,14.27,Highly Unstable,"Index is 72.5% (>70%), a severe red flag for income consistency.",61
W-1129,6583.27,12859849.51,69.72,Volatile,"Index is 54.5% (40-70%), pointing to risky and irregular payouts.",271
W-1130,2675.84,1259733.04,91.84,Volatile,"Index is 41.9% (40-70%), pointing to risky and irregular payouts.",201
W-1131,3153.26,285482.31,9.36,Stable,"Index is 16.9% (<20%), indicating highly predictable income.",233
W-1132,301.49,2946.08,8.81,Stable,"Index is 18.0% (<20%), indicating highly predictable income.",211
W-1133,315.12,45165.12,85.9,Volatile,"Index is 67.4% (40-70%), pointing to risky and irregular payouts.",199
W-1134,1786.92,1189223.21,130.88,Volatile,"Index is 61.0% (40-70%), pointing to risky and irregular payouts.",262
W-1135,451.44,161151.72,17.52,Highly Unstable,"Index is 88.9% (>70%), a severe red flag for income consistency.",56
W-1136,169.57,19952.38,82.33,Highly Unstable,"Index is 83.3% (>70%), a severe red flag for income consistency.",182
W-1137,903.68,203131.92,76.81,Volatile,"Index is 49.9% (40-70%), pointing to risky and irregular payouts.",251
W-1138,8032.28,31928820.22,120.99,Highly Unstable,"Index is 70.3% (>70%), a severe red flag for income consistency.",217
W-1139,611.8,164795.81,53.36,Volatile,"Index is 66.4% (40-70%), pointing to risky and irregular payouts.",173
W-1140,4540.19,659263.96,6.52,Stable,"Index is 17.9% (<20%), indicating highly predictable income.",250
W-1141,696.98,270320.89,12.63,Highly Unstable,"Index is 74.6% (>70%), a severe red flag for income consistency.",59
W-1142,6113.02,14186575.92,157.72,Volatile,"Index is 61.6% (40-70%), pointing to risky and irregular payouts.",235
W-1143,439.13,96994.71,127.79,Highly Unstable,"Index is 70.9% (>70%), a severe red flag for income consistency.",238
W-1144,3621.05,4827272.82,114.55,Volatile,"Index is 60.7% (40-70%), pointing to risky and irregular payouts.",228
W-1145,480.7,66804.59,97.36,Volatile,"Index is 53.8% (40-70%), pointing to risky and irregular payouts.",245
W-1146,356.51,2958.71,8.99,Stable,"Index is 15.3% (<20%), indicating highly predictable income.",245
W-1147,392.35,59408.98,12.73,Volatile,"Index is 62.1% (40-70%), pointing to risky and irregular payouts.",72
W-1148,2588.06,3283862.72,85.84,Highly Unstable,"Index is 70.0% (>70%), a severe red flag for income consistency.",195
W-1149,1598.75,53542.03,6.82,Stable,"Index is 14.5% (<20%), indicating highly predictable income.",258
