worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date,earnings_outlier_flag,earnings_per_day_was_missing,hours_worked_was_missing,jobs_completed_was_missing,rating_was_missing,year,month,day,day_of_week,is_weekend
30,Freelancer,Delhi,6000.0,6.0,4,5.0,2024-01-15,0,0,0,0,0,2024,1,15,0,0
31,Swiggy,Delhi,320.0,7.0,16,4.2,2024-01-16,0,0,0,0,0,2024,1,16,1,0
32,Zomato,Mumbai,750.0,10.0,31,4.5,2024-01-16,0,0,0,0,0,2024,1,16,1,0
33,Uber,Bangalore,1100.0,9.0,37,4.6,2024-01-17,0,0,0,0,0,2024,1,17,2,0
34,Swiggy,Pune,500.0,8.0,20,4.1,2024-01-17,0,0,0,0,0,2024,1,17,2,0
35,Freelancer,Delhi,3000.0,10.0,8,4.8,2024-01-18,0,0,0,0,0,2024,1,18,3,0
36,Uber,Chennai,850.2,10.0,40,4.4,2024-01-18,1,0,0,1,0,2024,1,18,3,0
37,Swiggy,Pune,410.0,9.0,22,4.0,2024-01-19,0,1,0,0,0,2024,1,19,4,0
38,Zomato,Mumbai,680.0,11.0,26,4.2,2024-01-19,0,0,0,0,0,2024,1,19,4,0
39,Uber,Bangalore,1250.0,10.0,34,4.7,2024-01-20,0,0,0,0,0,2024,1,20,5,1
40,Freelancer,Delhi,7000.0,5.0,2,4.7,2024-01-20,0,0,0,0,1,2024,1,20,5,1
41,Swiggy,Delhi,300.0,6.0,15,4.1,2024-01-21,0,0,0,0,0,2024,1,21,6,1
42,Zomato,Mumbai,820.0,10.0,33,4.6,2024-01-21,0,0,0,0,0,2024,1,21,6,1
43,Uber,Bangalore,1350.0,11.0,39,4.8,2024-01-22,0,0,0,0,0,2024,1,22,0,0
44,Swiggy,Pune,520.0,9.0,23,4.2,2024-01-22,0,0,0,0,0,2024,1,22,0,0
45,Freelancer,Delhi,2600.0,8.0,7,4.7,2024-01-23,0,0,0,0,0,2024,1,23,1,0
46,Uber,Chennai,980.0,10.0,35,4.5,2024-01-23,0,0,0,0,0,2024,1,23,1,0
47,Swiggy,Pune,410.0,7.0,18,4.0,2024-01-24,0,0,0,0,0,2024,1,24,2,0
48,Zomato,Mumbai,710.0,9.0,27,4.3,2024-01-24,0,0,0,0,0,2024,1,24,2,0
49,Uber,Bangalore,1500.0,12.0,45,4.9,2024-01-25,0,0,0,0,0,2024,1,25,3,0
50,Freelancer,Delhi,8000.0,6.0,3,5.0,2024-01-25,0,0,0,0,0,2024,1,25,3,0
51,Swiggy,Delhi,330.0,7.0,17,4.2,2024-01-26,0,0,0,0,0,2024,1,26,4,0
52,Zomato,Mumbai,760.0,10.0,30,4.4,2024-01-26,0,0,0,0,0,2024,1,26,4,0
53,Uber,Bangalore,1150.0,9.0,36,4.6,2024-01-27,0,0,0,0,0,2024,1,27,5,1
54,Swiggy,Pune,480.0,8.0,21,4.1,2024-01-27,0,0,0,0,0,2024,1,27,5,1
55,Freelancer,Delhi,2800.0,8.0,9,4.8,2024-01-28,0,0,0,0,0,2024,1,28,6,1
56,Uber,Chennai,900.0,10.0,34,4.5,2024-01-28,0,0,0,0,0,2024,1,28,6,1
57,Swiggy,Pune,410.0,7.0,20,4.0,2024-01-29,0,1,0,0,0,2024,1,29,0,0
58,Zomato,Mumbai,740.0,9.0,29,4.3,2024-01-29,0,0,0,0,0,2024,1,29,0,0
59,Uber,Bangalore,1450.0,11.0,41,4.8,2024-01-30,0,0,0,0,0,2024,1,30,1,0
60,Freelancer,Delhi,9000.0,6.0,2,4.7,2024-01-30,0,0,0,0,1,2024,1,30,1,0
61,Swiggy,Delhi,280.0,6.0,13,4.1,2024-01-31,0,0,0,0,0,2024,1,31,2,0
62,Zomato,Mumbai,900.0,11.0,35,4.6,2024-01-31,0,0,0,0,0,2024,1,31,2,0
63,Uber,Bangalore,1600.0,13.0,50,4.9,2024-02-01,0,0,0,0,0,2024,2,1,3,0
64,Swiggy,Pune,410.0,8.0,22,4.0,2024-02-01,0,1,0,0,0,2024,2,1,3,0
65,Freelancer,Delhi,3500.0,8.0,10,4.7,2024-02-02,0,0,0,0,0,2024,2,2,4,0
66,Uber,Chennai,1000.0,14.0,40,4.8,2024-02-02,0,0,0,0,1,2024,2,2,4,0
67,Swiggy,Pune,410.0,9.0,21,4.2,2024-02-03,0,1,0,0,0,2024,2,3,5,1
68,Zomato,Mumbai,720.0,10.0,30,4.4,2024-02-03,0,0,0,0,0,2024,2,3,5,1
69,Uber,Bangalore,1300.0,11.0,37,4.8,2024-02-04,0,0,1,0,0,2024,2,4,6,1
70,Freelancer,Delhi,15000.0,5.0,2,4.7,2024-02-04,0,0,0,0,1,2024,2,4,6,1
71,Swiggy,Delhi,310.0,7.0,16,4.2,2024-02-05,0,0,0,0,0,2024,2,5,0,0
72,Zomato,Mumbai,850.0,10.0,33,4.5,2024-02-05,0,0,0,0,0,2024,2,5,0,0
73,Uber,Bangalore,11979.999999999989,11.0,60,4.9,2024-02-06,1,0,0,0,0,2024,2,6,1,0
74,Swiggy,Pune,450.0,0.0,20,4.1,2024-02-06,0,0,0,0,0,2024,2,6,1,0
75,Freelancer,Delhi,2600.0,8.0,3,4.6,2024-02-07,0,0,0,1,0,2024,2,7,2,0
76,Uber,Chennai,920.0,10.0,34,4.8,2024-02-07,0,0,0,0,1,2024,2,7,2,0
77,Swiggy,Pune,430.0,7.0,18,4.0,2024-02-08,0,0,0,0,0,2024,2,8,3,0
78,Zomato,Mumbai,780.0,10.0,29,4.3,2024-02-08,0,0,0,0,0,2024,2,8,3,0
79,Uber,Bangalore,1275.0,12.0,40,4.7,2024-02-09,0,1,0,0,0,2024,2,9,4,0
80,Freelancer,Delhi,4000.0,6.0,5,4.8,2024-02-09,0,0,0,0,0,2024,2,9,4,0
81,Swiggy,Delhi,290.0,6.0,14,4.1,2024-02-10,0,0,0,0,0,2024,2,10,5,1
82,Zomato,Mumbai,870.0,11.0,36,4.6,2024-02-10,0,0,0,0,0,2024,2,10,5,1
83,Uber,Bangalore,1700.0,13.0,52,4.9,2024-02-11,0,0,0,0,0,2024,2,11,6,1
84,Swiggy,Pune,410.0,8.0,23,4.2,2024-02-11,0,1,0,0,0,2024,2,11,6,1
85,Freelancer,Delhi,2800.0,9.0,8,4.7,2024-02-12,0,0,0,0,0,2024,2,12,0,0
86,Uber,Chennai,950.0,10.0,35,4.8,2024-02-12,0,0,0,0,1,2024,2,12,0,0
87,Swiggy,Pune,410.0,7.0,19,4.0,2024-02-13,0,0,0,0,0,2024,2,13,1,0
88,Zomato,Mumbai,760.0,10.0,28,4.3,2024-02-13,0,0,0,0,0,2024,2,13,1,0
89,Uber,Bangalore,1350.0,12.0,42,4.8,2024-02-14,0,0,0,0,0,2024,2,14,2,0
90,Freelancer,Delhi,11000.0,5.0,1,4.7,2024-02-14,0,0,0,0,1,2024,2,14,2,0
91,Swiggy,Delhi,305.0,7.0,15,4.2,2024-02-15,0,0,0,0,0,2024,2,15,3,0
92,Zomato,Mumbai,880.0,10.0,34,4.5,2024-02-15,0,0,0,0,0,2024,2,15,3,0
93,Uber,Bangalore,1250.0,9.0,38,4.6,2024-02-16,0,0,0,0,0,2024,2,16,4,0
94,Swiggy,Pune,470.0,8.0,21,4.1,2024-02-16,0,0,0,0,0,2024,2,16,4,0
95,Freelancer,Delhi,3100.0,10.0,9,4.8,2024-02-17,0,0,0,0,0,2024,2,17,5,1
96,Uber,Chennai,870.0,10.0,40,4.4,2024-02-17,0,0,0,1,0,2024,2,17,5,1
97,Swiggy,Pune,410.0,9.0,22,4.0,2024-02-18,0,1,0,0,0,2024,2,18,6,1
98,Zomato,Mumbai,800.0,11.0,31,4.4,2024-02-18,0,0,0,0,0,2024,2,18,6,1
99,Uber,Bangalore,1400.0,12.0,44,4.8,2024-02-19,0,0,0,0,0,2024,2,19,0,0
100,Freelancer,Delhi,12000.0,6.0,3,4.7,2024-02-19,0,0,0,0,1,2024,2,19,0,0
101,Swiggy,Delhi,270.0,6.0,12,4.0,2024-02-20,0,0,0,0,0,2024,2,20,1,0
102,Zomato,Mumbai,920.0,11.0,37,4.6,2024-02-20,0,0,0,0,0,2024,2,20,1,0
103,Uber,Bangalore,1800.0,14.0,55,4.9,2024-02-21,0,0,0,0,0,2024,2,21,2,0
104,Swiggy,Pune,490.0,0.0,20,4.1,2024-02-21,0,0,0,0,0,2024,2,21,2,0
105,Freelancer,Delhi,3300.0,8.0,3,4.7,2024-02-22,0,0,0,1,0,2024,2,22,3,0
106,Uber,Chennai,910.0,10.0,36,4.8,2024-02-22,0,0,0,0,1,2024,2,22,3,0
107,Swiggy,Pune,410.0,7.0,20,4.0,2024-02-23,0,1,0,0,0,2024,2,23,4,0
108,Zomato,Mumbai,740.0,9.0,28,4.3,2024-02-23,0,0,0,0,0,2024,2,23,4,0
109,Uber,Bangalore,1500.0,12.0,45,4.8,2024-02-24,0,0,0,0,0,2024,2,24,5,1
110,Freelancer,Delhi,20000.0,5.0,1,4.7,2024-02-24,0,0,0,0,1,2024,2,24,5,1
111,Swiggy,Delhi,300.0,7.0,15,4.2,2024-02-25,0,0,0,0,0,2024,2,25,6,1
112,Zomato,Mumbai,860.0,10.0,32,4.5,2024-02-25,0,0,0,0,0,2024,2,25,6,1
113,Uber,Bangalore,1100.0,9.0,36,4.6,2024-02-26,0,0,0,0,0,2024,2,26,0,0
114,Swiggy,Pune,480.0,8.0,21,4.1,2024-02-26,0,0,0,0,0,2024,2,26,0,0
115,Freelancer,Delhi,2900.0,8.0,7,4.7,2024-02-27,0,0,0,0,0,2024,2,27,1,0
116,Uber,Chennai,930.0,10.0,34,4.5,2024-02-27,0,0,0,0,0,2024,2,27,1,0
117,Swiggy,Pune,410.0,7.0,19,4.0,2024-02-28,0,1,0,0,0,2024,2,28,2,0
118,Zomato,Mumbai,770.0,9.0,29,4.3,2024-02-28,0,0,0,0,0,2024,2,28,2,0
119,Uber,Bangalore,1450.0,11.0,41,4.8,2024-02-29,0,0,0,0,0,2024,2,29,3,0
120,Freelancer,Delhi,15000.0,6.0,2,4.7,2024-02-29,0,0,0,0,1,2024,2,29,3,0
121,Swiggy,Delhi,260.0,6.0,13,4.1,2024-03-01,0,0,0,0,0,2024,3,1,4,0
122,Zomato,Mumbai,890.0,11.0,35,4.6,2024-03-01,0,0,0,0,0,2024,3,1,4,0
123,Uber,Bangalore,1750.0,13.0,53,4.9,2024-03-02,0,0,0,0,0,2024,3,2,5,1
124,Swiggy,Pune,500.0,0.0,22,4.1,2024-03-02,0,0,0,0,0,2024,3,2,5,1
125,Freelancer,Delhi,3200.0,9.0,3,4.7,2024-03-03,0,0,0,1,0,2024,3,3,6,1
126,Uber,Chennai,940.0,10.0,35,4.8,2024-03-03,0,0,0,0,1,2024,3,3,6,1
127,Swiggy,Pune,410.0,8.0,20,4.0,2024-03-04,0,1,0,0,0,2024,3,4,0,0
128,Zomato,Mumbai,750.0,10.0,30,4.3,2024-03-04,0,0,0,0,0,2024,3,4,0,0
129,Uber,Bangalore,1550.0,12.0,46,4.8,2024-03-05,0,0,0,0,0,2024,3,5,1,0
130,Freelancer,Delhi,18000.0,5.0,1,4.7,2024-03-05,0,0,0,0,1,2024,3,5,1,0
131,Swiggy,Delhi,310.0,7.0,16,4.2,2024-03-06,0,0,0,0,0,2024,3,6,2,0
132,Zomato,Mumbai,870.0,10.0,33,4.5,2024-03-06,0,0,0,0,0,2024,3,6,2,0
133,Uber,Bangalore,1150.0,9.0,37,4.6,2024-03-07,0,0,0,0,0,2024,3,7,3,0
134,Swiggy,Pune,460.0,8.0,21,4.1,2024-03-07,0,0,0,0,0,2024,3,7,3,0
135,Freelancer,Delhi,3000.0,10.0,8,4.8,2024-03-08,0,0,0,0,0,2024,3,8,4,0
136,Uber,Chennai,890.0,10.0,40,4.4,2024-03-08,0,0,0,1,0,2024,3,8,4,0
137,Swiggy,Pune,410.0,9.0,22,4.0,2024-03-09,0,1,0,0,0,2024,3,9,5,1
138,Zomato,Mumbai,790.0,11.0,30,4.4,2024-03-09,0,0,0,0,0,2024,3,9,5,1
139,Uber,Bangalore,1400.0,12.0,43,4.8,2024-03-10,0,0,0,0,0,2024,3,10,6,1
140,Freelancer,Delhi,22000.0,6.0,2,4.7,2024-03-10,0,0,0,0,1,2024,3,10,6,1
141,Swiggy,Delhi,280.0,6.0,14,4.1,2024-03-11,0,0,0,0,0,2024,3,11,0,0
142,Zomato,Mumbai,910.0,11.0,36,4.6,2024-03-11,0,0,0,0,0,2024,3,11,0,0
143,Uber,Bangalore,1650.0,13.0,50,4.9,2024-03-12,0,0,0,0,0,2024,3,12,1,0
144,Swiggy,Pune,470.0,0.0,20,4.1,2024-03-12,0,0,0,0,0,2024,3,12,1,0
145,Freelancer,Delhi,3400.0,8.0,3,4.7,2024-03-13,0,0,0,1,0,2024,3,13,2,0
146,Uber,Chennai,920.0,10.0,34,4.8,2024-03-13,0,0,0,0,1,2024,3,13,2,0
147,Swiggy,Pune,410.0,7.0,20,4.0,2024-03-14,0,1,0,0,0,2024,3,14,3,0
148,Zomato,Mumbai,780.0,9.0,28,4.3,2024-03-14,0,0,0,0,0,2024,3,14,3,0
149,Uber,Bangalore,1500.0,12.0,45,4.8,2024-03-15,0,0,0,0,0,2024,3,15,4,0
150,Freelancer,Delhi,25000.0,5.0,1,4.7,2024-03-15,0,0,0,0,1,2024,3,15,4,0
151,Swiggy,Delhi,300.0,7.0,15,4.2,2024-03-16,0,0,0,0,0,2024,3,16,5,1
152,Zomato,Mumbai,860.0,10.0,32,4.5,2024-03-16,0,0,0,0,0,2024,3,16,5,1
153,Uber,Bangalore,1100.0,9.0,36,4.6,2024-03-17,0,0,0,0,0,2024,3,17,6,1
154,Swiggy,Pune,480.0,8.0,21,4.1,2024-03-17,0,0,0,0,0,2024,3,17,6,1
155,Freelancer,Delhi,2900.0,8.0,7,4.7,2024-03-18,0,0,0,0,0,2024,3,18,0,0
156,Uber,Chennai,930.0,10.0,34,4.5,2024-03-18,0,0,0,0,0,2024,3,18,0,0
157,Swiggy,Pune,410.0,7.0,19,4.0,2024-03-19,0,1,0,0,0,2024,3,19,1,0
158,Zomato,Mumbai,770.0,9.0,29,4.3,2024-03-19,0,0,0,0,0,2024,3,19,1,0
159,Uber,Bangalore,1450.0,11.0,41,4.8,2024-03-20,0,0,0,0,0,2024,3,20,2,0
160,Freelancer,Delhi,30000.0,6.0,2,4.7,2024-03-20,0,0,0,0,1,2024,3,20,2,0
161,Swiggy,Delhi,290.0,6.0,14,4.1,2024-03-21,0,0,0,0,0,2024,3,21,3,0
162,Zomato,Mumbai,920.0,11.0,36,4.6,2024-03-21,0,0,0,0,0,2024,3,21,3,0
163,Uber,Bangalore,1800.0,14.0,55,4.9,2024-03-22,0,0,0,0,0,2024,3,22,4,0
164,Swiggy,Pune,410.0,8.0,22,4.0,2024-03-22,0,1,0,0,0,2024,3,22,4,0
165,Freelancer,Delhi,3500.0,0.0,9,4.7,2024-03-23,0,0,0,0,0,2024,3,23,5,1
166,Uber,Chennai,1000.0,11.0,40,4.8,2024-03-23,0,0,1,0,1,2024,3,23,5,1
167,Swiggy,Pune,410.0,9.0,21,4.2,2024-03-24,0,1,0,0,0,2024,3,24,6,1
168,Zomato,Mumbai,740.0,10.0,30,4.4,2024-03-24,0,0,0,0,0,2024,3,24,6,1
169,Uber,Bangalore,1350.0,11.0,37,4.8,2024-03-25,0,0,1,0,0,2024,3,25,0,0
170,Freelancer,Delhi,30000.0,5.0,2,4.7,2024-03-25,0,0,0,0,1,2024,3,25,0,0
171,Swiggy,Delhi,310.0,7.0,16,4.2,2024-03-26,0,0,0,0,0,2024,3,26,1,0
172,Zomato,Mumbai,870.0,10.0,33,4.5,2024-03-26,0,0,0,0,0,2024,3,26,1,0
173,Uber,Bangalore,11979.999999999989,11.0,60,4.9,2024-03-27,1,0,0,0,0,2024,3,27,2,0
174,Swiggy,Pune,480.0,0.0,20,4.1,2024-03-27,0,0,0,0,0,2024,3,27,2,0
175,Freelancer,Delhi,2800.0,8.0,3,4.6,2024-03-28,0,0,0,1,0,2024,3,28,3,0
176,Uber,Chennai,920.0,10.0,34,4.8,2024-03-28,0,0,0,0,1,2024,3,28,3,0
177,Swiggy,Pune,430.0,7.0,18,4.0,2024-03-29,0,0,0,0,0,2024,3,29,4,0
178,Zomato,Mumbai,780.0,10.0,29,4.3,2024-03-29,0,0,0,0,0,2024,3,29,4,0
179,Uber,Bangalore,1275.0,12.0,40,4.7,2024-03-30,0,1,0,0,0,2024,3,30,5,1
180,Freelancer,Delhi,50000.0,6.0,5,4.7,2024-03-30,0,0,0,0,1,2024,3,30,5,1
181,Swiggy,Delhi,270.0,6.0,13,4.1,2024-03-31,0,0,0,0,0,2024,3,31,6,1
182,Zomato,Mumbai,900.0,11.0,35,4.6,2024-03-31,0,0,0,0,0,2024,3,31,6,1
183,Uber,Bangalore,1600.0,13.0,50,4.9,2024-04-01,0,0,0,0,0,2024,4,1,0,0
184,Swiggy,Pune,410.0,8.0,23,4.2,2024-04-01,0,1,0,0,0,2024,4,1,0,0
185,Freelancer,Delhi,3200.0,9.0,8,4.7,2024-04-02,0,0,0,0,0,2024,4,2,1,0
186,Uber,Chennai,950.0,10.0,35,4.8,2024-04-02,0,0,0,0,1,2024,4,2,1,0
187,Swiggy,Pune,410.0,7.0,19,4.0,2024-04-03,0,0,0,0,0,2024,4,3,2,0
188,Zomato,Mumbai,760.0,10.0,28,4.3,2024-04-03,0,0,0,0,0,2024,4,3,2,0
189,Uber,Bangalore,1500.0,12.0,45,4.8,2024-04-04,0,0,0,0,0,2024,4,4,3,0
190,Freelancer,Delhi,42000.0,5.0,1,4.7,2024-04-04,0,0,0,0,1,2024,4,4,3,0
191,Swiggy,Delhi,300.0,7.0,15,4.2,2024-04-05,0,0,0,0,0,2024,4,5,4,0
192,Zomato,Mumbai,880.0,10.0,34,4.5,2024-04-05,0,0,0,0,0,2024,4,5,4,0
193,Uber,Bangalore,1200.0,9.0,38,4.6,2024-04-06,0,0,0,0,0,2024,4,6,5,1
194,Swiggy,Pune,470.0,8.0,21,4.1,2024-04-06,0,0,0,0,0,2024,4,6,5,1
195,Freelancer,Delhi,3100.0,10.0,9,4.8,2024-04-07,0,0,0,0,0,2024,4,7,6,1
196,Uber,Chennai,870.0,10.0,40,4.4,2024-04-07,0,0,0,1,0,2024,4,7,6,1
197,Swiggy,Pune,410.0,9.0,22,4.0,2024-04-08,0,1,0,0,0,2024,4,8,0,0
198,Zomato,Mumbai,800.0,11.0,31,4.4,2024-04-08,0,0,0,0,0,2024,4,8,0,0
199,Uber,Bangalore,1400.0,12.0,44,4.8,2024-04-09,0,0,0,0,0,2024,4,9,1,0
200,Freelancer,Delhi,38000.0,6.0,3,4.7,2024-04-09,0,0,0,0,1,2024,4,9,1,0
201,Swiggy,Delhi,260.0,6.0,12,4.0,2024-04-10,0,0,0,0,0,2024,4,10,2,0
202,Zomato,Mumbai,920.0,11.0,37,4.6,2024-04-10,0,0,0,0,0,2024,4,10,2,0
203,Uber,Bangalore,1900.0,14.0,55,4.9,2024-04-11,0,0,0,0,0,2024,4,11,3,0
204,Swiggy,Pune,490.0,0.0,20,4.1,2024-04-11,0,0,0,0,0,2024,4,11,3,0
205,Freelancer,Delhi,3300.0,8.0,3,4.7,2024-04-12,0,0,0,1,0,2024,4,12,4,0
206,Uber,Chennai,910.0,10.0,36,4.8,2024-04-12,0,0,0,0,1,2024,4,12,4,0
207,Swiggy,Pune,410.0,7.0,20,4.0,2024-04-13,0,1,0,0,0,2024,4,13,5,1
208,Zomato,Mumbai,740.0,9.0,28,4.3,2024-04-13,0,0,0,0,0,2024,4,13,5,1
209,Uber,Bangalore,1500.0,12.0,45,4.8,2024-04-14,0,0,0,0,0,2024,4,14,6,1
210,Freelancer,Delhi,47000.0,5.0,1,4.7,2024-04-14,0,0,0,0,1,2024,4,14,6,1
211,Swiggy,Delhi,300.0,7.0,15,4.2,2024-04-15,0,0,0,0,0,2024,4,15,0,0
212,Zomato,Mumbai,860.0,10.0,32,4.5,2024-04-15,0,0,0,0,0,2024,4,15,0,0
213,Uber,Bangalore,1100.0,9.0,36,4.6,2024-04-16,0,0,0,0,0,2024,4,16,1,0
214,Swiggy,Pune,480.0,8.0,21,4.1,2024-04-16,0,0,0,0,0,2024,4,16,1,0
215,Freelancer,Delhi,2900.0,0.0,7,4.7,2024-04-17,0,0,0,0,0,2024,4,17,2,0
216,Uber,Chennai,930.0,10.0,34,4.5,2024-04-17,0,0,0,0,0,2024,4,17,2,0
217,Swiggy,Pune,410.0,7.0,19,4.0,2024-04-18,0,1,0,0,0,2024,4,18,3,0
218,Zomato,Mumbai,770.0,9.0,29,4.3,2024-04-18,0,0,0,0,0,2024,4,18,3,0
219,Uber,Bangalore,1450.0,11.0,41,4.8,2024-04-19,0,0,0,0,0,2024,4,19,4,0
220,Freelancer,Delhi,52000.0,6.0,2,4.7,2024-04-19,0,0,0,0,1,2024,4,19,4,0
221,Swiggy,Delhi,280.0,6.0,14,4.1,2024-04-20,0,0,0,0,0,2024,4,20,5,1
222,Zomato,Mumbai,910.0,11.0,36,4.6,2024-04-20,0,0,0,0,0,2024,4,20,5,1
223,Uber,Bangalore,1650.0,13.0,50,4.9,2024-04-21,0,0,0,0,0,2024,4,21,6,1
224,Swiggy,Pune,470.0,0.0,20,4.1,2024-04-21,0,0,0,0,0,2024,4,21,6,1
225,Freelancer,Delhi,3400.0,8.0,3,4.7,2024-04-22,0,0,0,1,0,2024,4,22,0,0
226,Uber,Chennai,920.0,10.0,34,4.8,2024-04-22,0,0,0,0,1,2024,4,22,0,0
227,Swiggy,Pune,410.0,7.0,20,4.0,2024-04-23,0,1,0,0,0,2024,4,23,1,0
228,Zomato,Mumbai,780.0,9.0,28,4.3,2024-04-23,0,0,0,0,0,2024,4,23,1,0
229,Uber,Bangalore,1500.0,12.0,45,4.8,2024-04-24,0,0,0,0,0,2024,4,24,2,0
230,Freelancer,Delhi,60000.0,5.0,1,4.7,2024-04-24,0,0,0,0,1,2024,4,24,2,0
231,Swiggy,Delhi,300.0,7.0,15,4.2,2024-04-25,0,0,0,0,0,2024,4,25,3,0
232,Zomato,Mumbai,860.0,10.0,32,4.5,2024-04-25,0,0,0,0,0,2024,4,25,3,0
233,Uber,Bangalore,1100.0,9.0,36,4.6,2024-04-26,0,0,0,0,0,2024,4,26,4,0
234,Swiggy,Pune,480.0,8.0,21,4.1,2024-04-26,0,0,0,0,0,2024,4,26,4,0
235,Freelancer,Delhi,2900.0,8.0,7,4.7,2024-04-27,0,0,0,0,0,2024,4,27,5,1
236,Uber,Chennai,930.0,10.0,34,4.5,2024-04-27,0,0,0,0,0,2024,4,27,5,1
237,Swiggy,Pune,410.0,7.0,19,4.0,2024-04-28,0,1,0,0,0,2024,4,28,6,1
238,Zomato,Mumbai,770.0,9.0,29,4.3,2024-04-28,0,0,0,0,0,2024,4,28,6,1
239,Uber,Bangalore,1450.0,11.0,41,4.8,2024-04-29,0,0,0,0,0,2024,4,29,0,0
240,Freelancer,Delhi,70000.0,6.0,2,4.7,2024-04-29,0,0,0,0,1,2024,4,29,0,0
241,Swiggy,Delhi,260.0,6.0,13,4.1,2024-04-30,0,0,0,0,0,2024,4,30,1,0
242,Zomato,Mumbai,890.0,11.0,35,4.6,2024-04-30,0,0,0,0,0,2024,4,30,1,0
243,Uber,Bangalore,1750.0,13.0,53,4.9,2024-05-01,0,0,0,0,0,2024,5,1,2,0
244,Swiggy,Pune,500.0,0.0,22,4.1,2024-05-01,0,0,0,0,0,2024,5,1,2,0
245,Freelancer,Delhi,3200.0,9.0,3,4.7,2024-05-02,0,0,0,1,0,2024,5,2,3,0
246,Uber,Chennai,940.0,10.0,35,4.8,2024-05-02,0,0,0,0,1,2024,5,2,3,0
247,Swiggy,Pune,410.0,8.0,20,4.0,2024-05-03,0,1,0,0,0,2024,5,3,4,0
248,Zomato,Mumbai,750.0,10.0,30,4.3,2024-05-03,0,0,0,0,0,2024,5,3,4,0
249,Uber,Bangalore,1550.0,12.0,46,4.8,2024-05-04,0,0,0,0,0,2024,5,4,5,1
250,Freelancer,Delhi,80000.0,5.0,1,4.7,2024-05-04,0,0,0,0,1,2024,5,4,5,1
251,Swiggy,Delhi,310.0,7.0,16,4.2,2024-05-05,0,0,0,0,0,2024,5,5,6,1
